strain_stim,jnl,frame,time_s,fluor,dff
odr7p_Bcary_5percent,JNL_10off_120on_50off,254,25.311,22724700.000000004,-14.858439371664565
odr7p_Bcary_5percent,JNL_10off_120on_50off,255,25.411,22291700,-16.480740029190056
odr7p_Bcary_5percent,JNL_10off_120on_50off,256,25.511,22365400.000000004,-16.204611718659724
odr7p_Bcary_5percent,JNL_10off_120on_50off,257,25.611,22375900,-16.165271864377942
odr7p_Bcary_5percent,JNL_10off_120on_50off,258,25.711,22196400,-16.83779603995721
odr7p_Bcary_5percent,JNL_10off_120on_50off,259,25.811,22296800,-16.461632099967467
odr7p_Bcary_5percent,JNL_10off_120on_50off,260,25.911,22279500,-16.526449193212713
odr7p_Bcary_5percent,JNL_10off_120on_50off,261,26.011,22110700,-17.158884183952438
odr7p_Bcary_5percent,JNL_10off_120on_50off,262,26.111,22001200,-17.569142664319738
odr7p_Bcary_5percent,JNL_10off_120on_50off,263,26.211,22293500,-16.47399605417032
odr7p_Bcary_5percent,JNL_10off_120on_50off,264,26.311,22143700,-17.03524464192394
odr7p_Bcary_5percent,JNL_10off_120on_50off,265,26.411,21932800,-17.82541371506972
odr7p_Bcary_5percent,JNL_10off_120on_50off,266,26.511,22011000,-17.53242546699006
odr7p_Bcary_5percent,JNL_10off_120on_50off,267,26.611,22233700,-16.69804589093712
odr7p_Bcary_5percent,JNL_10off_120on_50off,268,26.711,21924400,-17.856885598495158
odr7p_Bcary_5percent,JNL_10off_120on_50off,269,26.811,21878300,-18.029606292056183
odr7p_Bcary_5percent,JNL_10off_120on_50off,270,26.911,21893200,-17.97378116550392
odr7p_Bcary_5percent,JNL_10off_120on_50off,271,27.011,22170500,-16.93483434718564
odr7p_Bcary_5percent,JNL_10off_120on_50off,272,27.111,21752900,-18.499436551764482
odr7p_Bcary_5percent,JNL_10off_120on_50off,273,27.211,21845500.000000004,-18.152496503526923
odr7p_Bcary_5percent,JNL_10off_120on_50off,274,27.311,21793300.000000004,-18.348071779099275
odr7p_Bcary_5percent,JNL_10off_120on_50off,275,27.411,21956200,-17.737742039813146
odr7p_Bcary_5percent,JNL_10off_120on_50off,276,27.511,21780000,-18.397902261189564
odr7p_Bcary_5percent,JNL_10off_120on_50off,277,27.611,21799300,-18.325591862366835
odr7p_Bcary_5percent,JNL_10off_120on_50off,278,27.711,21847000,-18.14687652434382
odr7p_Bcary_5percent,JNL_10off_120on_50off,279,27.811,21770600,-18.433120797403742
odr7p_Bcary_5percent,JNL_10off_120on_50off,280,27.911,21431200,-19.70473475390293
odr7p_Bcary_5percent,JNL_10off_120on_50off,281,28.011,21619300,-18.999989364340475
odr7p_Bcary_5percent,JNL_10off_120on_50off,282,28.111,21671299.999999996,-18.805163419325883
odr7p_Bcary_5percent,JNL_10off_120on_50off,283,28.211,21426599.999999996,-19.721969356731158
odr7p_Bcary_5percent,JNL_10off_120on_50off,284,28.311,21821100.000000004,-18.243914831572237
odr7p_Bcary_5percent,JNL_10off_120on_50off,285,28.411,21485500,-19.501291507474214
odr7p_Bcary_5percent,JNL_10off_120on_50off,286,28.511,21482500,-19.51253146584044
odr7p_Bcary_5percent,JNL_10off_120on_50off,287,28.611,21618700,-19.002237356013723
odr7p_Bcary_5percent,JNL_10off_120on_50off,288,28.711,21571200,-19.180203363478988
odr7p_Bcary_5percent,JNL_10off_120on_50off,289,28.811,21374200,-19.91829396286125
odr7p_Bcary_5percent,JNL_10off_120on_50off,290,28.911,21310900,-20.155457084388644
odr7p_Bcary_5percent,JNL_10off_120on_50off,291,29.011,21336600,-20.059168107717966
odr7p_Bcary_5percent,JNL_10off_120on_50off,292,29.111,21240100,-20.42072010183161
odr7p_Bcary_5percent,JNL_10off_120on_50off,293,29.211,21431100,-19.705109419181806
odr7p_Bcary_5percent,JNL_10off_120on_50off,294,29.311,21400600,-19.819382329238447
odr7p_Bcary_5percent,JNL_10off_120on_50off,295,29.411,21229600,-20.460059956113405
odr7p_Bcary_5percent,JNL_10off_120on_50off,296,29.511,21417000,-19.75793722350307
odr7p_Bcary_5percent,JNL_10off_120on_50off,297,29.611,21350400,-20.00746429923332
odr7p_Bcary_5percent,JNL_10off_120on_50off,298,29.711,21516900,-19.3836466099077
odr7p_Bcary_5percent,JNL_10off_120on_50off,299,29.811,21486900.000000004,-19.49604619356996
