strain_stim,jnl,frame,time_ms,fluor
odr7p_NH4Br,JNL_10off_120on_50off,277,27611,189244000
odr7p_NH4Br,JNL_10off_120on_50off,278,27711,188741000
odr7p_NH4Br,JNL_10off_120on_50off,279,27811,188796000
odr7p_NH4Br,JNL_10off_120on_50off,280,27911,188788000
odr7p_NH4Br,JNL_10off_120on_50off,281,28011,188919000
odr7p_NH4Br,JNL_10off_120on_50off,282,28111,188383000
odr7p_NH4Br,JNL_10off_120on_50off,283,28211,188674000
odr7p_NH4Br,JNL_10off_120on_50off,284,28311,188317000
odr7p_NH4Br,JNL_10off_120on_50off,285,28411,188945000
odr7p_NH4Br,JNL_10off_120on_50off,286,28511,188679000
odr7p_NH4Br,JNL_10off_120on_50off,287,28611,188751000
odr7p_NH4Br,JNL_10off_120on_50off,288,28711,188493000
odr7p_NH4Br,JNL_10off_120on_50off,289,28811,188200000
odr7p_NH4Br,JNL_10off_120on_50off,290,28911,188385000
odr7p_NH4Br,JNL_10off_120on_50off,291,29011,188064000
odr7p_NH4Br,JNL_10off_120on_50off,292,29111,188286000
odr7p_NH4Br,JNL_10off_120on_50off,293,29211,187958000
odr7p_NH4Br,JNL_10off_120on_50off,294,29311,188372000
odr7p_NH4Br,JNL_10off_120on_50off,295,29411,187928000
odr7p_NH4Br,JNL_10off_120on_50off,296,29511,188013000
odr7p_NH4Br,JNL_10off_120on_50off,297,29611,187989000
odr7p_NH4Br,JNL_10off_120on_50off,298,29711,187314000
odr7p_NH4Br,JNL_10off_120on_50off,299,29811,187616000
odr7p_NH4Br,JNL_10off_120on_50off,300,29911,187897000
odr7p_NH4Br,JNL_10off_120on_50off,301,30011,187892000
odr7p_NH4Br,JNL_10off_120on_50off,302,30111,187488000
odr7p_NH4Br,JNL_10off_120on_50off,303,30211,187767000
odr7p_NH4Br,JNL_10off_120on_50off,304,30311,187298000
odr7p_NH4Br,JNL_10off_120on_50off,305,30411,187240000
odr7p_NH4Br,JNL_10off_120on_50off,306,30511,187584000
odr7p_NH4Br,JNL_10off_120on_50off,307,30611,187315000
odr7p_NH4Br,JNL_10off_120on_50off,308,30711,187535000
odr7p_NH4Br,JNL_10off_120on_50off,309,30811,188401000
odr7p_NH4Br,JNL_10off_120on_50off,310,30911,187968000
odr7p_NH4Br,JNL_10off_120on_50off,311,31011,188100000
odr7p_NH4Br,JNL_10off_120on_50off,312,31111,187967000
odr7p_NH4Br,JNL_10off_120on_50off,313,31211,188217000
odr7p_NH4Br,JNL_10off_120on_50off,314,31311,187485000
odr7p_NH4Br,JNL_10off_120on_50off,315,31411,187244000
odr7p_NH4Br,JNL_10off_120on_50off,316,31511,187427000
odr7p_NH4Br,JNL_10off_120on_50off,317,31611,187098000
odr7p_NH4Br,JNL_10off_120on_50off,318,31711,186893000
odr7p_NH4Br,JNL_10off_120on_50off,319,31811,186919000
odr7p_NH4Br,JNL_10off_120on_50off,320,31911,187272000
odr7p_NH4Br,JNL_10off_120on_50off,321,32011,187040000
odr7p_NH4Br,JNL_10off_120on_50off,322,32111,186751000
odr7p_NH4Br,JNL_10off_120on_50off,323,32211,187116000
odr7p_NH4Br,JNL_10off_120on_50off,324,32311,186945000
odr7p_NH4Br,JNL_10off_120on_50off,325,32411,186818000
odr7p_NH4Br,JNL_10off_120on_50off,326,32511,186645000
odr7p_NH4Br,JNL_10off_120on_50off,327,32611,186279000
odr7p_NH4Br,JNL_10off_120on_50off,328,32711,186322000
odr7p_NH4Br,JNL_10off_120on_50off,329,32811,185947000
odr7p_NH4Br,JNL_10off_120on_50off,330,32911,185661000
odr7p_NH4Br,JNL_10off_120on_50off,331,33011,186479000
odr7p_NH4Br,JNL_10off_120on_50off,332,33111,186082000
odr7p_NH4Br,JNL_10off_120on_50off,333,33211,186352000
odr7p_NH4Br,JNL_10off_120on_50off,334,33311,185712000
odr7p_NH4Br,JNL_10off_120on_50off,335,33411,185859000
odr7p_NH4Br,JNL_10off_120on_50off,336,33511,185907000
odr7p_NH4Br,JNL_10off_120on_50off,337,33611,185634000
odr7p_NH4Br,JNL_10off_120on_50off,338,33711,185417000
odr7p_NH4Br,JNL_10off_120on_50off,339,33811,185670000
odr7p_NH4Br,JNL_10off_120on_50off,340,33911,185724000
odr7p_NH4Br,JNL_10off_120on_50off,341,34011,185460000
odr7p_NH4Br,JNL_10off_120on_50off,342,34111,185576000
odr7p_NH4Br,JNL_10off_120on_50off,343,34211,185307000
odr7p_NH4Br,JNL_10off_120on_50off,344,34311,185775000
odr7p_NH4Br,JNL_10off_120on_50off,345,34411,186036000
odr7p_NH4Br,JNL_10off_120on_50off,346,34511,185375000
odr7p_NH4Br,JNL_10off_120on_50off,347,34611,185133000
odr7p_NH4Br,JNL_10off_120on_50off,348,34711,184982000
odr7p_NH4Br,JNL_10off_120on_50off,349,34811,184603000
odr7p_NH4Br,JNL_10off_120on_50off,350,34911,184736000
odr7p_NH4Br,JNL_10off_120on_50off,351,35011,184944000
odr7p_NH4Br,JNL_10off_120on_50off,352,35111,184580000
odr7p_NH4Br,JNL_10off_120on_50off,353,35211,185215000
odr7p_NH4Br,JNL_10off_120on_50off,354,35311,184350000
odr7p_NH4Br,JNL_10off_120on_50off,355,35411,184102000
odr7p_NH4Br,JNL_10off_120on_50off,356,35511,184503000
odr7p_NH4Br,JNL_10off_120on_50off,357,35611,184510000
odr7p_NH4Br,JNL_10off_120on_50off,358,35711,184283000
odr7p_NH4Br,JNL_10off_120on_50off,359,35811,185008000
odr7p_NH4Br,JNL_10off_120on_50off,360,35911,184470000
odr7p_NH4Br,JNL_10off_120on_50off,361,36011,184347000
odr7p_NH4Br,JNL_10off_120on_50off,362,36111,184233000
odr7p_NH4Br,JNL_10off_120on_50off,363,36211,184430000
odr7p_NH4Br,JNL_10off_120on_50off,364,36311,184348000
odr7p_NH4Br,JNL_10off_120on_50off,365,36411,184127000
odr7p_NH4Br,JNL_10off_120on_50off,366,36511,184369000
odr7p_NH4Br,JNL_10off_120on_50off,367,36611,184030000
odr7p_NH4Br,JNL_10off_120on_50off,368,36711,184019000
odr7p_NH4Br,JNL_10off_120on_50off,369,36811,184223000
odr7p_NH4Br,JNL_10off_120on_50off,370,36911,184300000
odr7p_NH4Br,JNL_10off_120on_50off,371,37011,184070000
