strain_stim,jnl,frame,time_ms,fluor
odr7p_Bcary_5percent,JNL_10off_120on_50off,314,31311,74793000
odr7p_Bcary_5percent,JNL_10off_120on_50off,315,31411,74906100
odr7p_Bcary_5percent,JNL_10off_120on_50off,316,31511,74810800
odr7p_Bcary_5percent,JNL_10off_120on_50off,317,31611,74646700
odr7p_Bcary_5percent,JNL_10off_120on_50off,318,31711,74987600
odr7p_Bcary_5percent,JNL_10off_120on_50off,319,31811,74504300
odr7p_Bcary_5percent,JNL_10off_120on_50off,320,31911,74406900
odr7p_Bcary_5percent,JNL_10off_120on_50off,321,32011,74628600
odr7p_Bcary_5percent,JNL_10off_120on_50off,322,32111,74438300
odr7p_Bcary_5percent,JNL_10off_120on_50off,323,32211,74556400
odr7p_Bcary_5percent,JNL_10off_120on_50off,324,32311,74574600
odr7p_Bcary_5percent,JNL_10off_120on_50off,325,32411,74018700
odr7p_Bcary_5percent,JNL_10off_120on_50off,326,32511,74190000
odr7p_Bcary_5percent,JNL_10off_120on_50off,327,32611,73813100
odr7p_Bcary_5percent,JNL_10off_120on_50off,328,32711,74157500
odr7p_Bcary_5percent,JNL_10off_120on_50off,329,32811,74232400
odr7p_Bcary_5percent,JNL_10off_120on_50off,330,32911,74355900
odr7p_Bcary_5percent,JNL_10off_120on_50off,331,33011,74028000
odr7p_Bcary_5percent,JNL_10off_120on_50off,332,33111,74201200
odr7p_Bcary_5percent,JNL_10off_120on_50off,333,33211,74050500
odr7p_Bcary_5percent,JNL_10off_120on_50off,334,33311,74399300
odr7p_Bcary_5percent,JNL_10off_120on_50off,335,33411,74176500
odr7p_Bcary_5percent,JNL_10off_120on_50off,336,33511,74023700
odr7p_Bcary_5percent,JNL_10off_120on_50off,337,33611,74161900
odr7p_Bcary_5percent,JNL_10off_120on_50off,338,33711,73953200
odr7p_Bcary_5percent,JNL_10off_120on_50off,339,33811,73863000
odr7p_Bcary_5percent,JNL_10off_120on_50off,340,33911,73817300
odr7p_Bcary_5percent,JNL_10off_120on_50off,341,34011,73617700
odr7p_Bcary_5percent,JNL_10off_120on_50off,342,34111,73641300
odr7p_Bcary_5percent,JNL_10off_120on_50off,343,34211,73436000
odr7p_Bcary_5percent,JNL_10off_120on_50off,344,34311,73196600
odr7p_Bcary_5percent,JNL_10off_120on_50off,345,34411,73389400
odr7p_Bcary_5percent,JNL_10off_120on_50off,346,34511,73745300
odr7p_Bcary_5percent,JNL_10off_120on_50off,347,34611,73507700
odr7p_Bcary_5percent,JNL_10off_120on_50off,348,34711,73496000
odr7p_Bcary_5percent,JNL_10off_120on_50off,349,34811,73567900
odr7p_Bcary_5percent,JNL_10off_120on_50off,350,34911,73232100
odr7p_Bcary_5percent,JNL_10off_120on_50off,351,35011,73483400
odr7p_Bcary_5percent,JNL_10off_120on_50off,352,35111,73059500
odr7p_Bcary_5percent,JNL_10off_120on_50off,353,35211,73201600
odr7p_Bcary_5percent,JNL_10off_120on_50off,354,35311,73170400
odr7p_Bcary_5percent,JNL_10off_120on_50off,355,35411,73268900
odr7p_Bcary_5percent,JNL_10off_120on_50off,356,35511,72900100
odr7p_Bcary_5percent,JNL_10off_120on_50off,357,35611,72835200
odr7p_Bcary_5percent,JNL_10off_120on_50off,358,35711,72850900
odr7p_Bcary_5percent,JNL_10off_120on_50off,359,35811,73084600
odr7p_Bcary_5percent,JNL_10off_120on_50off,360,35911,72913200
odr7p_Bcary_5percent,JNL_10off_120on_50off,361,36011,73033300
odr7p_Bcary_5percent,JNL_10off_120on_50off,362,36111,72914300
odr7p_Bcary_5percent,JNL_10off_120on_50off,363,36211,73099300
odr7p_Bcary_5percent,JNL_10off_120on_50off,364,36311,72801200
odr7p_Bcary_5percent,JNL_10off_120on_50off,365,36411,72851100
odr7p_Bcary_5percent,JNL_10off_120on_50off,366,36511,72833100
odr7p_Bcary_5percent,JNL_10off_120on_50off,367,36611,72738100
odr7p_Bcary_5percent,JNL_10off_120on_50off,368,36711,72966900
odr7p_Bcary_5percent,JNL_10off_120on_50off,369,36811,72769800
odr7p_Bcary_5percent,JNL_10off_120on_50off,370,36911,72425700
odr7p_Bcary_5percent,JNL_10off_120on_50off,371,37011,72509800
odr7p_Bcary_5percent,JNL_10off_120on_50off,372,37111,72680500
odr7p_Bcary_5percent,JNL_10off_120on_50off,373,37211,72395800
odr7p_Bcary_5percent,JNL_10off_120on_50off,374,37311,72852000
odr7p_Bcary_5percent,JNL_10off_120on_50off,375,37411,72251400
odr7p_Bcary_5percent,JNL_10off_120on_50off,376,37511,72676400
odr7p_Bcary_5percent,JNL_10off_120on_50off,377,37611,72637200
odr7p_Bcary_5percent,JNL_10off_120on_50off,378,37711,72644100
odr7p_Bcary_5percent,JNL_10off_120on_50off,379,37811,72571200
odr7p_Bcary_5percent,JNL_10off_120on_50off,380,37911,72553100
odr7p_Bcary_5percent,JNL_10off_120on_50off,381,38011,72421200
odr7p_Bcary_5percent,JNL_10off_120on_50off,382,38111,72720900
odr7p_Bcary_5percent,JNL_10off_120on_50off,383,38211,72405800
odr7p_Bcary_5percent,JNL_10off_120on_50off,384,38311,72546800
odr7p_Bcary_5percent,JNL_10off_120on_50off,385,38411,72370900
